user_key,created_at,created_str,retweet_count,favorite_count,text
ten_gop,1.47E+12,7/19/16 1:58,796,622,"#BlackLivesMatter constantly attacks Sheriff D. Clarke!
RT if you think he is real patriot to support him!
#RNCinCLE https://t.co/Aoyftblitj"
ten_gop,1.47E+12,7/19/16 2:12,70,70,"BOOM!_ôÍ« Trump gets endorsement from 14 Hispanic leaders! 
#RNCinCLE 
#GOPConvention 
https://t.co/to30oX6AIV https://t.co/787hXZOIIc"
ten_gop,1.47E+12,7/19/16 2:20,103,110,"Rudy Giuliani: ""Islamic Extremist Terrorists You Know Who You Are &amp; We're Coming To Get You""_ôïè_ôïè
#RNCinCLE 
#Trump2016 https://t.co/Fezn1b9iBS"
ten_gop,1.47E+12,7/19/16 2:30,58,83,"Donald Trump takes the stage to introduce _ôï_FIRST LADY of the United States Melania Trump_ôï_! 
#RNCinCLE 
#Trump2016 https://t.co/G6i0pnLNs0"
ten_gop,1.47E+12,7/19/16 2:39,100,108,"Great appearance of the PRESIDENT Donald Trump at the #GOPConvention! 
RT &amp; keep this photo for history!
#RNCinCLE https://t.co/eUnb8TFVrk"
ten_gop,1.47E+12,7/19/16 3:00,43,25,"Look at the hate on Melania Trump!_ôïˆ
If it was other way around dems would be screaming RACISM!
#RNCinCLE https://t.co/4PhiiOrMMw"
ten_gop,1.47E+12,7/19/16 3:15,48,64,"Democrats watching #RNCinCLE &amp; realizing that they are screwed..
#Trump2016
#NeverHillary 
#TrumpPence16 https://t.co/4vkKxTqSDs"
ten_gop,1.47E+12,7/19/16 3:25,15,20,"GOP Senate candidate rips Obama as the ""divider-in-chief""_ôï_
#RNCinCLE
#TrumpPence16 
#GOPinCLE 
#GOPConvention https://t.co/nE5NJg6Wg6"
ten_gop,1.47E+12,7/19/16 3:43,1,1,"Rudy Giuliani on police: ""They put  lives at risk for us whether we're black or white or Hispanic or gay.""
#RNCinCLE https://t.co/u3uiUP0mPM"
ten_gop,1.47E+12,7/19/16 16:58,1,1,"They LOVE America! 
We LOVE them!_ôï_
#Trump2016 
#RNCinCLE https://t.co/cYx1QHrbbp"
ten_gop,1.47E+12,7/19/16 17:00,148,115,"Islam is the greatest THREAT to humanity of the 21st century!
#RNCinCLE 
#Trump2016 https://t.co/UNpb0HJpDk"
